AgeF,Female
49.65458626,108.9472094
51.1287062,113.6758681
52.60282614,118.0818469
54.07694607,121.1971065
55.55106601,124.2316962
57.02518594,126.943606
58.49930588,129.2521661
59.97342582,131.3993862
61.44754575,133.5466064
62.92166569,135.8551664
64.39578562,139.2124359
65.86990556,142.2470256
67.3440255,145.7656349
68.81814543,151.543003
70.29226537,157.6430509
71.7663853,163.8237688
73.24050524,172.5859252
74.71462517,182.396791
76.18874511,192.2076568
77.66286505,204.8419709
79.13698498,222.8005021
80.61110492,241.0010431
82.08522485,259.8469437
83.42533389,279.5129432
84.69843747,299.0682227
85.97154105,318.9390113
87.04362828,336.3282339
87.8476937,357.4747922
88.51774821,377.3745059
89.18780273,397.2742196
89.85785724,417.1739332
90.52791176,437.2511208
91.19796628,457.1508344
91.86802079,476.6956003
92.67208621,495.8645923
93.61016254,515.2916459
94.54823886,534.8454666
95.48631518,554.1457531
96.4243915,573.5728066
97.36246783,592.9998602
98.30054415,612.4269138
99.23862047,631.093365
