Ages,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118
 50-54,4674.24,4661.60,4617.99,4603.89,4560.55,4493.26,4390.65,4296.44,4167.58,4052.60,3986.43,4011.92,4086.01,4174.77,4272.25,4358.72,4384.64,4398.07,4412.52,4427.18,4464.27,4500.95,4526.57,4569.67,4603.37,4588.99,4579.73,4539.39,4483.08,4441.75,4406.78,4366.12,4319.75,4253.16,4167.75,4112.65,4085.51,4099.02,4161.28,4260.50,4376.53,4467.52,4555.51,4630.83,4703.33,4725.43,4736.78,4734.00,4717.06,4665.52,4614.29,4552.14,4496.02,4431.76,4382.16,4350.95,4344.17,4333.59,4326.38,4323.20,4322.26,4322.06,4323.53,4327.43,4334.69,4345.96,4361.09,4379.92,4402.64,4429.22,4459.16,4491.80,4525.60,4558.67,4589.26,4615.80,4636.65,4651.63,4660.66,4663.73,4661.11,4653.85,4642.64,4628.40,4612.15,4595.04,4578.08,4562.19,4548.17,4536.58,4527.87,4522.28,4519.87,4520.60,4524.33,4530.79,4539.76,4550.91,4563.85,4578.24,4593.66
 55-59,4293.82,4408.11,4513.70,4577.78,4614.27,4619.76,4606.48,4563.20,4549.33,4506.95,4441.14,4340.86,4249.05,4123.28,4011.16,3947.03,3973.14,4047.10,4135.38,4232.08,4317.85,4344.08,4358.15,4373.20,4388.40,4425.74,4462.58,4488.57,4531.84,4565.71,4552.14,4543.62,4504.44,4449.59,4409.51,4375.63,4336.14,4290.93,4225.77,4142.02,4088.23,4062.14,4076.19,4138.42,4237.11,4352.44,4442.99,4530.56,4605.62,4677.95,4700.40,4712.16,4709.93,4693.74,4643.33,4593.15,4532.10,4477.06,4414.00,4365.42,4335.04,4328.79,4318.81,4312.14,4309.46,4309.00,4309.26,4311.16,4315.48,4323.14,4334.76,4350.21,4369.31,4392.30,4419.10,4449.23,4482.05,4516.00,4549.24,4580.00,4606.76,4627.86,4643.13,4652.50,4655.93,4653.72,4646.89,4636.14,4622.37,4606.60,4589.96,4573.47,4558.04,4544.45,4533.29,4524.97,4519.74,4517.68,4518.75,4522.77,4529.52
 60-64,3673.11,3758.48,3862.28,3974.70,4090.26,4197.80,4308.49,4411.33,4474.13,4510.37,4516.69,4505.06,4464.43,4452.51,4412.70,4349.84,4253.30,4164.94,4043.66,3935.65,3874.47,3901.44,3975.18,4062.67,4158.15,4242.84,4269.52,4284.49,4300.40,4316.39,4354.07,4391.13,4417.68,4461.17,4495.27,4482.90,4475.45,4437.97,4385.27,4347.02,4314.73,4276.98,4233.46,4170.40,4089.08,4037.23,4012.69,4027.55,4089.71,4187.61,4301.89,4391.74,4478.66,4553.37,4625.43,4648.38,4660.72,4659.30,4644.23,4595.47,4546.85,4487.44,4434.00,4372.69,4325.64,4296.47,4291.03,4281.92,4276.06,4274.13,4274.36,4275.31,4277.86,4282.80,4291.02,4303.16,4319.08,4338.61,4361.96,4389.09,4419.51,4452.58,4486.77,4520.25,4551.27,4578.35,4599.81,4615.51,4625.37,4629.35,4627.74,4621.55,4611.47,4598.40,4583.34,4567.42,4551.63,4536.88,4523.94,4513.41,4505.68
 65-69,3396.44,3371.32,3362.76,3394.97,3459.15,3533.05,3614.67,3714.72,3823.48,3935.64,4040.43,4148.48,4249.12,4311.37,4348.20,4356.27,4347.23,4310.25,4301.00,4264.75,4206.02,4114.76,4031.25,3916.31,3814.10,3757.03,3785.15,3858.46,3944.79,4038.48,4121.61,4148.87,4165.09,4182.21,4199.28,4237.41,4274.77,4302.06,4345.83,4380.24,4369.58,4363.66,4328.60,4278.97,4243.33,4213.32,4178.04,4136.95,4076.89,3999.07,3950.00,3927.66,3943.63,4005.67,4102.39,4215.11,4303.95,4389.93,4464.08,4535.73,4559.39,4572.57,4572.31,4558.85,4512.47,4466.08,4409.04,4357.90,4299.14,4254.28,4226.88,4222.59,4214.72,4210.03,4209.16,4210.40,4212.31,4215.81,4221.64,4230.69,4243.57,4260.15,4280.29,4304.17,4331.76,4362.58,4396.02,4430.55,4464.36,4495.77,4523.28,4545.27,4561.60,4572.17,4576.94,4576.20,4570.95,4561.84,4549.79,4535.76,4520.86
 70-74,3251.60,3319.91,3368.90,3388.25,3240.61,3172.53,3150.34,3144.32,3176.38,3238.36,3309.97,3388.95,3485.06,3589.73,3697.83,3799.19,3903.57,4000.84,4062.06,4099.47,4109.83,4104.29,4072.36,4066.74,4035.44,3982.47,3898.61,3821.92,3715.97,3622.02,3570.79,3600.50,3673.13,3757.68,3848.67,3929.38,3957.35,3975.31,3994.07,4012.63,4051.33,4089.01,4117.30,4161.40,4196.20,4187.92,4184.12,4152.50,4107.27,4075.38,4048.61,4016.88,3979.23,3923.50,3850.70,3805.64,3786.49,3804.05,3865.88,3960.83,4071.24,4158.52,4243.04,4316.33,4387.33,4411.97,4426.30,4427.67,4416.50,4373.57,4330.42,4276.80,4228.99,4173.95,4132.29,4107.44,4104.81,4098.74,4095.73,4096.39,4099.06,4102.40,4107.25,4114.36,4124.60,4138.54,4156.10,4177.09,4201.73,4229.97,4261.37,4295.31,4330.30,4364.59,4396.54,4424.69,4447.44,4464.66,4476.24,4482.16,4482.70
 75-79,2235.57,2326.55,2412.18,2527.23,2763.31,2891.80,2952.70,2996.69,3013.68,2887.83,2832.11,2816.75,2815.25,2847.74,2906.97,2975.43,3050.45,3140.47,3238.72,3340.42,3436.28,3534.82,3626.63,3685.84,3723.65,3736.91,3736.10,3711.20,3710.57,3686.21,3641.39,3568.16,3501.27,3408.42,3326.48,3283.73,3315.59,3387.01,3468.68,3555.33,3632.13,3660.90,3681.21,3702.21,3722.76,3762.12,3800.08,3829.68,3874.10,3909.27,3904.38,3903.60,3876.94,3838.20,3811.82,3789.78,3763.25,3730.65,3681.24,3615.92,3576.78,3562.35,3582.21,3643.62,3735.74,3842.48,3927.25,4009.38,4081.21,4151.05,4177.05,4192.97,4196.67,4188.88,4151.12,4112.80,4064.25,4021.43,3971.98,3935.14,3914.12,3913.93,3910.54,3910.03,3912.94,3917.75,3923.17,3930.03,3939.04,3951.02,3966.54,3985.50,4007.75,4033.48,4062.67,4094.88,4129.53,4165.18,4200.14,4232.85,4261.89
 80-84,1673.46,1716.15,1737.85,1733.09,1756.05,1811.74,1889.56,1963.48,2058.90,2258.84,2368.22,2420.73,2457.19,2470.52,2374.85,2336.03,2329.70,2333.95,2366.38,2420.97,2484.10,2552.56,2632.86,2720.82,2812.20,2899.01,2987.98,3070.82,3126.10,3163.53,3180.12,3185.34,3169.92,3175.80,3160.83,3127.31,3069.11,3016.07,2942.01,2877.26,2846.47,2880.91,2949.85,3026.55,3106.06,3176.40,3205.73,3229.01,3252.84,3275.84,3315.67,3353.54,3384.64,3429.05,3464.33,3464.16,3467.50,3447.95,3418.64,3400.28,3385.06,3366.04,3340.74,3300.62,3246.33,3215.89,3208.34,3231.36,3291.77,3379.15,3479.86,3560.37,3638.41,3707.61,3775.28,3803.03,3821.06,3828.04,3825.16,3795.13,3764.02,3723.09,3687.76,3646.80,3617.25,3601.98,3605.37,3605.93,3609.09,3615.33,3623.25,3631.73,3641.52,3653.32,3667.85,3685.65,3706.62,3730.64,3757.91,3788.39,3821.71
 85-89,1024.47,1041.02,1058.42,1078.15,1102.78,1134.46,1164.14,1181.80,1180.19,1200.33,1245.67,1306.66,1362.59,1430.47,1579.19,1660.32,1699.20,1724.24,1732.27,1674.25,1655.69,1659.32,1669.41,1699.81,1746.19,1799.82,1857.04,1921.88,1993.37,2068.10,2139.91,2213.18,2281.32,2328.97,2363.78,2383.03,2394.70,2390.66,2403.70,2400.08,2380.94,2342.61,2308.00,2259.31,2217.64,2202.39,2238.71,2302.11,2369.75,2437.30,2496.86,2525.66,2551.76,2578.21,2603.40,2642.49,2678.97,2710.94,2753.96,2788.27,2793.99,2802.43,2792.43,2776.08,2768.66,2762.63,2753.84,2738.60,2711.51,2672.99,2654.77,2656.61,2683.35,2741.11,2820.17,2910.55,2983.48,3054.25,3118.41,3181.74,3211.20,3231.59,3242.83,3246.74,3227.92,3207.25,3177.50,3153.19,3124.78,3105.95,3099.00,3107.37,3113.52,3121.83,3132.69,3144.92,3157.62,3171.49,3187.10,3205.09,3225.94
 90-94,448.04,458.58,469.40,480.74,491.13,499.10,506.81,518.61,531.99,547.69,566.34,583.39,594.20,594.28,608.16,637.30,674.66,707.07,743.49,830.01,876.17,897.71,910.26,913.92,891.51,889.95,899.68,911.91,935.55,968.13,1005.72,1045.03,1087.78,1135.47,1185.79,1234.83,1284.67,1331.00,1365.32,1392.66,1410.90,1425.76,1431.01,1447.86,1453.57,1448.36,1431.11,1416.16,1394.80,1377.68,1377.45,1411.12,1462.17,1513.71,1562.52,1605.42,1630.27,1655.99,1681.86,1706.22,1740.50,1771.82,1801.29,1838.70,1868.65,1879.24,1891.63,1891.61,1889.40,1893.47,1897.00,1899.05,1894.97,1883.08,1863.62,1859.39,1870.94,1899.57,1950.26,2014.56,2087.24,2146.56,2204.17,2258.25,2312.33,2341.46,2362.70,2377.61,2388.69,2383.58,2375.76,2360.14,2349.68,2337.39,2332.08,2335.18,2348.77,2361.06,2374.96,2390.64,2407.27
 95-99,122.82,127.90,127.57,128.35,129.38,130.39,132.59,136.33,140.31,143.91,146.65,149.65,154.51,159.95,166.00,172.77,178.81,182.84,183.10,189.22,201.29,215.92,227.73,240.11,273.19,289.88,297.24,301.26,302.77,299.50,303.23,310.40,317.85,329.56,344.62,361.98,379.76,398.42,419.65,442.32,464.70,487.36,508.43,524.83,538.96,549.65,559.81,565.99,577.94,584.53,585.73,581.92,579.45,575.88,574.00,579.75,601.34,630.44,657.85,682.12,703.49,718.24,735.55,752.79,768.81,790.17,809.17,828.28,851.67,870.20,879.37,889.68,894.19,899.63,908.34,915.42,922.25,924.62,923.66,919.42,924.09,938.37,960.75,994.49,1033.63,1077.43,1113.22,1148.12,1182.54,1217.64,1238.82,1254.59,1267.72,1280.65,1285.27,1286.99,1283.45,1284.41,1285.81,1290.88,1300.08
 100 & over,13.17,13.02,15.38,16.72,17.31,17.54,17.66,17.74,17.90,18.03,18.15,18.50,19.13,19.78,20.36,20.78,21.33,22.28,23.30,24.38,25.54,26.56,27.30,27.43,28.81,31.29,34.09,36.17,38.25,44.71,47.65,48.84,49.53,50.02,50.71,52.31,54.30,56.16,58.89,62.30,66.27,70.26,74.33,79.14,84.37,89.59,94.86,99.78,103.84,107.64,110.81,114.13,116.55,120.51,123.01,124.11,124.26,124.88,125.85,126.98,129.88,136.70,145.14,152.47,158.55,164.21,169.15,175.52,181.60,187.09,194.21,200.33,206.98,214.93,221.10,224.98,229.33,232.35,236.52,241.42,245.12,249.09,251.25,252.99,254.16,258.27,265.67,274.72,286.93,299.88,314.68,326.97,339.26,352.41,366.07,375.30,382.20,389.00,396.86,402.33,405.70
